Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC11,10000,Non-Secure,10240,9,7.973,9.659,20.74,52.7,3006137,30782.84288,307,100.26984651465798
TC11,10000,Secure,10240,9,13.094,15.928,29.336,76.104,3066990,31405.9776,516,60.8642976744186
TC11,10000,Non-Secure,10240,10,8.628,10.453,25.846,65.1,3006468,30786.23232,307,100.28088703583062
TC11,10000,Secure,10240,10,13.101,16.016,28.07,78.407,3060045,31334.8608,517,60.60901508704062
TC12,10000,Non-Secure,102400,1,232.41,339.181,14145.983,15220.095,144116,14757.4784,322,45.83067826086957
TC12,10000,Secure,102400,1,19.978,108.755,8934.015,10928.959,248804,25477.529599999998,524,48.62123969465649
TC12,10000,Non-Secure,102400,2,233.827,334.601,14093.951,15178.943,148488,15205.171199999999,318,47.815003773584905
TC12,10000,Secure,102400,2,34.11,145.89,9065.407,10055.295,235997,24166.0928,524,46.11849770992366
TC12,10000,Non-Secure,102400,3,216.973,356.011,14114.239,14242.047,147075,15060.48,321,46.917383177570095
TC12,10000,Secure,102400,3,22.596,143.312,6767.711,7061.215,246336,25224.806399999998,521,48.416135124760075
TC12,10000,Non-Secure,102400,4,219.676,298.699,14810.815,16744.447,137353,14064.947199999999,308,45.665412987012985
TC12,10000,Secure,102400,4,18.847,104.182,7967.935,9011.391,256373,26252.5952,526,49.90987680608365
TC12,10000,Non-Secure,102400,5,215.105,302.987,13757.055,15159.039,153055,15672.831999999999,320,48.977599999999995
TC12,10000,Secure,102400,5,17.77,109.054,6798.911,8030.175,251513,25754.9312,519,49.624144894026976
TC12,10000,Non-Secure,102400,6,229.652,411.425,14146.111,14559.423,142674,14609.817599999998,311,46.97690546623794
TC12,10000,Secure,102400,6,19.348,119.568,7909.087,9020.543,255916,26205.7984,531,49.35178606403013
TC12,10000,Non-Secure,102400,7,207.501,285.855,14255.615,16156.991,146078,14958.3872,318,47.0389534591195
TC12,10000,Secure,102400,7,68.093,225.455,12027.775,15105.919,193821,19847.270399999998,530,37.44768
TC12,10000,Non-Secure,102400,8,256.43,3064.079,13114.815,15153.471,145112,14859.468799999999,321,46.291180062305294
TC12,10000,Secure,102400,8,27.416,124.752,8081.823,9082.815,250694,25671.065599999998,523,49.08425544933078
TC12,10000,Non-Secure,102400,9,222.464,2414.975,14116.543,16052.863,145327,14881.4848,313,47.544679872204476
TC12,10000,Secure,102400,9,17.667,116.351,6064.415,6957.919,255326,26145.3824,514,50.86650272373541
TC12,10000,Non-Secure,102400,10,215.19,317.863,14135.999,16041.151,143332,14677.1968,314,46.742664968152866
TC12,10000,Secure,102400,10,22.116,120.883,9908.671,11072.319,232666,23824.9984,519,45.90558458574181
